metric,model_a,model_b,n_seeds,mean_a,mean_b,diff_mean,diff_std,p_bootstrap,significant_05,seeds_used
igg_aff_pval,MOLM (ESM2),LDA (OneHot),5,3.327925569627704e-05,8.123455150839684e-08,3.3198021144768644e-05,7.324059274060349e-05,0.0737,False,"42,123,456,789,2024"
igg_aff_rho,MOLM (ESM2),LDA (OneHot),5,0.6780798596620737,0.7190822249412309,-0.04100236527915713,0.07950220926817099,0.1995,False,"42,123,456,789,2024"
igg_spec_pval,MOLM (ESM2),LDA (OneHot),5,0.00021926107468436587,2.607380525415581e-09,0.00021925846730384046,0.0002542904926549539,0.0091,True,"42,123,456,789,2024"
igg_spec_rho,MOLM (ESM2),LDA (OneHot),5,0.5712804250613249,0.7694804181094547,-0.19819999304812974,0.061316838034235224,0.0,True,"42,123,456,789,2024"
iso_aff_pval,MOLM (ESM2),LDA (OneHot),5,2.1021123389023166e-40,1.2340454059953319e-39,-1.0238341721051002e-39,4.665102831899252e-40,0.0,True,"42,123,456,789,2024"
iso_aff_rho,MOLM (ESM2),LDA (OneHot),5,0.8838425196850395,0.868652418447694,0.015190101237345432,0.009863936646602576,0.0,True,"42,123,456,789,2024"
iso_spec_pval,MOLM (ESM2),LDA (OneHot),5,6.886038277575192e-15,1.0350057566653719e-17,6.8756882200085385e-15,7.158939867320343e-15,0.0095,True,"42,123,456,789,2024"
iso_spec_rho,MOLM (ESM2),LDA (OneHot),5,0.6258411698537685,0.6694773153355831,-0.0436361454818146,0.007817333187897409,0.0,True,"42,123,456,789,2024"
igg_aff_pval,MOLM (ESM2),LDA (ESM2),5,3.327925569627704e-05,9.462358386381671e-07,3.233301985763887e-05,7.324059274060349e-05,0.5634,False,"42,123,456,789,2024"
igg_aff_rho,MOLM (ESM2),LDA (ESM2),5,0.6780798596620737,0.6749657559699859,0.003114103692087866,0.07950220926817099,0.9083,False,"42,123,456,789,2024"
igg_spec_pval,MOLM (ESM2),LDA (ESM2),5,0.00021926107468436587,1.1429867434290264e-05,0.00020783120725007562,0.0002542904926549539,0.0137,True,"42,123,456,789,2024"
igg_spec_rho,MOLM (ESM2),LDA (ESM2),5,0.5712804250613249,0.6210169148893903,-0.04973648982806533,0.061316838034235224,0.0262,True,"42,123,456,789,2024"
iso_aff_pval,MOLM (ESM2),LDA (ESM2),5,2.1021123389023166e-40,8.503728570411698e-35,-8.503707549288309e-35,4.665102831891849e-40,0.0,True,"42,123,456,789,2024"
iso_aff_rho,MOLM (ESM2),LDA (ESM2),5,0.8838425196850395,0.8404739407574053,0.04336857892763413,0.009863936646602576,0.0,True,"42,123,456,789,2024"
iso_spec_pval,MOLM (ESM2),LDA (ESM2),5,6.886038277575192e-15,2.8254917670485857e-21,6.886035452083425e-15,7.158939867320343e-15,0.0095,True,"42,123,456,789,2024"
iso_spec_rho,MOLM (ESM2),LDA (ESM2),5,0.6258411698537685,0.7183832020997376,-0.09254203224596913,0.007817333187897409,0.0,True,"42,123,456,789,2024"
igg_aff_pval,MOLM (ESM2),LDA (Fusion-ESM2),5,3.327925569627704e-05,2.1341893499636374e-05,1.1937362196640669e-05,7.32405927406035e-05,0.5982,False,"42,123,456,789,2024"
igg_aff_rho,MOLM (ESM2),LDA (Fusion-ESM2),5,0.6780798596620737,0.6057093874011564,0.0723704722609173,0.07950220926817099,0.0158,True,"42,123,456,789,2024"
igg_spec_pval,MOLM (ESM2),LDA (Fusion-ESM2),5,0.00021926107468436587,0.00011058377582743586,0.00010867729885693001,0.0002542904926549539,0.215,False,"42,123,456,789,2024"
igg_spec_rho,MOLM (ESM2),LDA (Fusion-ESM2),5,0.5712804250613249,0.5611774471797193,0.010102977881605635,0.061316838034235224,0.7577,False,"42,123,456,789,2024"
iso_aff_pval,MOLM (ESM2),LDA (Fusion-ESM2),5,2.1021123389023166e-40,1.7679168503920124e-34,-1.7679147482796734e-34,4.665102831939661e-40,0.0,True,"42,123,456,789,2024"
iso_aff_rho,MOLM (ESM2),LDA (Fusion-ESM2),5,0.8838425196850395,0.8384041994750657,0.04543832020997374,0.009863936646602576,0.0,True,"42,123,456,789,2024"
iso_spec_pval,MOLM (ESM2),LDA (Fusion-ESM2),5,6.886038277575192e-15,2.798541435896733e-19,6.885758423431602e-15,7.158939867320343e-15,0.0095,True,"42,123,456,789,2024"
