model,metric,n_seeds,mean,std,min,max,ci_lo,ci_hi,seeds_used,values
LDA (ESM2),affinity_auc,5,0.9748337911445919,0.0006966752121986098,0.9739566736347453,0.975820581537141,0.97400901388942,0.9757488427253683,"42,123,456,789,2024",0.974808;0.975103;0.975821;0.974480;0.973957
LDA (ESM2),affinity_cv_mean,5,0.9311,0.0013532368602724078,0.9295,0.9332499999999999,0.929625,0.9330249999999999,"42,123,456,789,2024",0.929500;0.931000;0.933250;0.931000;0.930750
LDA (ESM2),affinity_mcc,5,0.8548003692113617,0.0028558012130886737,0.8514815888621973,0.8593702467570494,0.8517364898847101,0.8588981186129278,"42,123,456,789,2024",0.851482;0.854470;0.859370;0.854649;0.854031
LDA (ESM2),igg_aff_pval,5,9.462358386381671e-07,0.0,9.462358386381671e-07,9.462358386381671e-07,9.462358386381671e-07,9.462358386381671e-07,"42,123,456,789,2024",0.000001;0.000001;0.000001;0.000001;0.000001
LDA (ESM2),igg_aff_rho,5,0.6749657559699859,0.0,0.6749657559699859,0.6749657559699859,0.6749657559699859,0.6749657559699859,"42,123,456,789,2024",0.674966;0.674966;0.674966;0.674966;0.674966
LDA (ESM2),igg_spec_pval,5,1.1429867434290264e-05,0.0,1.1429867434290264e-05,1.1429867434290264e-05,1.1429867434290264e-05,1.1429867434290264e-05,"42,123,456,789,2024",0.000011;0.000011;0.000011;0.000011;0.000011
LDA (ESM2),igg_spec_rho,5,0.6210169148893903,0.0,0.6210169148893903,0.6210169148893903,0.6210169148893903,0.6210169148893903,"42,123,456,789,2024",0.621017;0.621017;0.621017;0.621017;0.621017
LDA (ESM2),iso_aff_pval,5,8.503728570411698e-35,0.0,8.503728570411698e-35,8.503728570411698e-35,8.503728570411698e-35,8.503728570411698e-35,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (ESM2),iso_aff_rho,5,0.8404739407574053,0.0,0.8404739407574053,0.8404739407574053,0.8404739407574053,0.8404739407574053,"42,123,456,789,2024",0.840474;0.840474;0.840474;0.840474;0.840474
LDA (ESM2),iso_spec_pval,5,2.8254917670485857e-21,0.0,2.8254917670485857e-21,2.8254917670485857e-21,2.8254917670485857e-21,2.8254917670485857e-21,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (ESM2),iso_spec_rho,5,0.7183832020997376,0.0,0.7183832020997376,0.7183832020997376,0.7183832020997376,0.7183832020997376,"42,123,456,789,2024",0.718383;0.718383;0.718383;0.718383;0.718383
LDA (ESM2),specificity_auc,5,0.976681525,0.001039924934941252,0.9752481249999999,0.977777125,0.9753545874999999,0.977761425,"42,123,456,789,2024",0.976449;0.975248;0.977620;0.976313;0.977777
LDA (ESM2),specificity_cv_mean,5,0.92875,0.0013110110602126508,0.9270000000000002,0.93,0.9270750000000001,0.929975,"42,123,456,789,2024",0.927750;0.927000;0.929750;0.930000;0.929250
LDA (ESM2),specificity_mcc,5,0.8575040892757704,0.002619859327360427,0.8540068320819851,0.8600004300003226,0.8541566728723509,0.8599506555952994,"42,123,456,789,2024",0.855505;0.854007;0.859503;0.860000;0.858505
LDA (Fusion-ESM2),affinity_auc,5,0.9722747483631389,0.0007519628618881125,0.9715289993159386,0.9731864407139731,0.9715360762707184,0.9731587569415233,"42,123,456,789,2024",0.971600;0.972910;0.973186;0.971529;0.972149
LDA (Fusion-ESM2),affinity_cv_mean,5,0.92825,0.0024811791551599496,0.9254999999999999,0.93225,0.9256749999999999,0.9318500000000001,"42,123,456,789,2024",0.925500;0.927250;0.932250;0.928250;0.928000
LDA (Fusion-ESM2),affinity_mcc,5,0.8491593651123562,0.005290584749752839,0.843501891334639,0.857766231509499,0.8438342584729489,0.8569093977114732,"42,123,456,789,2024",0.843502;0.846826;0.857766;0.849198;0.848505
LDA (Fusion-ESM2),igg_aff_pval,5,2.1341893499636374e-05,0.0,2.1341893499636374e-05,2.1341893499636374e-05,2.1341893499636374e-05,2.1341893499636374e-05,"42,123,456,789,2024",0.000021;0.000021;0.000021;0.000021;0.000021
LDA (Fusion-ESM2),igg_aff_rho,5,0.6057093874011564,0.0,0.6057093874011564,0.6057093874011564,0.6057093874011564,0.6057093874011564,"42,123,456,789,2024",0.605709;0.605709;0.605709;0.605709;0.605709
LDA (Fusion-ESM2),igg_spec_pval,5,0.00011058377582743586,0.0,0.00011058377582743586,0.00011058377582743586,0.00011058377582743586,0.00011058377582743586,"42,123,456,789,2024",0.000111;0.000111;0.000111;0.000111;0.000111
LDA (Fusion-ESM2),igg_spec_rho,5,0.5611774471797193,0.0,0.5611774471797193,0.5611774471797193,0.5611774471797193,0.5611774471797193,"42,123,456,789,2024",0.561177;0.561177;0.561177;0.561177;0.561177
LDA (Fusion-ESM2),iso_aff_pval,5,1.7679168503920124e-34,0.0,1.7679168503920124e-34,1.7679168503920124e-34,1.7679168503920124e-34,1.7679168503920124e-34,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (Fusion-ESM2),iso_aff_rho,5,0.8384041994750657,1.2412670766236366e-16,0.8384041994750656,0.8384041994750656,0.8384041994750656,0.8384041994750656,"42,123,456,789,2024",0.838404;0.838404;0.838404;0.838404;0.838404
LDA (Fusion-ESM2),iso_spec_pval,5,2.798541435896733e-19,0.0,2.798541435896733e-19,2.798541435896733e-19,2.798541435896733e-19,2.798541435896733e-19,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (Fusion-ESM2),iso_spec_rho,5,0.6922024746906638,0.0,0.6922024746906638,0.6922024746906638,0.6922024746906638,0.6922024746906638,"42,123,456,789,2024",0.692202;0.692202;0.692202;0.692202;0.692202
LDA (Fusion-ESM2),specificity_auc,5,0.9752297750000001,0.0005591677996138676,0.9746405,0.9758620000000001,0.9746451500000001,0.9758442875000001,"42,123,456,789,2024",0.974641;0.975275;0.974687;0.975685;0.975862
LDA (Fusion-ESM2),specificity_cv_mean,5,0.92875,0.0014684175155588357,0.9272500000000001,0.931,0.9273000000000001,0.930825,"42,123,456,789,2024",0.927250;0.929250;0.931000;0.928500;0.927750
LDA (Fusion-ESM2),specificity_mcc,5,0.8575063135453129,0.002932979323012843,0.8545180518845211,0.8620038790261834,0.8546167706946333,0.8616537594060726,"42,123,456,789,2024",0.854518;0.858503;0.862004;0.857002;0.855505
LDA (OneHot),affinity_auc,5,0.9733942615323825,0.0003168786381772918,0.9730425116524118,0.9738519134598634,0.9730597459625508,0.9738227824302449,"42,123,456,789,2024",0.973043;0.973215;0.973301;0.973852;0.973561
LDA (OneHot),affinity_cv_mean,5,0.92175,0.0009519716382330077,0.92075,0.92325,0.9208,0.923125,"42,123,456,789,2024",0.922000;0.921500;0.920750;0.923250;0.921250
LDA (OneHot),affinity_mcc,5,0.8384427432350179,0.002031862480324946,0.836187716042611,0.8416234150914023,0.8363327942131074,0.8413566303564425,"42,123,456,789,2024",0.838956;0.837809;0.836188;0.841623;0.837638
LDA (OneHot),igg_aff_pval,5,8.123455150839684e-08,0.0,8.123455150839684e-08,8.123455150839684e-08,8.123455150839684e-08,8.123455150839684e-08,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (OneHot),igg_aff_rho,5,0.7190822249412309,0.0,0.7190822249412309,0.7190822249412309,0.7190822249412309,0.7190822249412309,"42,123,456,789,2024",0.719082;0.719082;0.719082;0.719082;0.719082
LDA (OneHot),igg_spec_pval,5,2.607380525415581e-09,0.0,2.607380525415581e-09,2.607380525415581e-09,2.607380525415581e-09,2.607380525415581e-09,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (OneHot),igg_spec_rho,5,0.7694804181094547,0.0,0.7694804181094547,0.7694804181094547,0.7694804181094547,0.7694804181094547,"42,123,456,789,2024",0.769480;0.769480;0.769480;0.769480;0.769480
LDA (OneHot),iso_aff_pval,5,1.2340454059953319e-39,0.0,1.2340454059953319e-39,1.2340454059953319e-39,1.2340454059953319e-39,1.2340454059953319e-39,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (OneHot),iso_aff_rho,5,0.868652418447694,0.0,0.868652418447694,0.868652418447694,0.868652418447694,0.868652418447694,"42,123,456,789,2024",0.868652;0.868652;0.868652;0.868652;0.868652
LDA (OneHot),iso_spec_pval,5,1.0350057566653719e-17,0.0,1.0350057566653719e-17,1.0350057566653719e-17,1.0350057566653719e-17,1.0350057566653719e-17,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
LDA (OneHot),iso_spec_rho,5,0.6694773153355831,0.0,0.6694773153355831,0.6694773153355831,0.6694773153355831,0.6694773153355831,"42,123,456,789,2024",0.669477;0.669477;0.669477;0.669477;0.669477
LDA (OneHot),specificity_auc,5,0.9750486,0.00028868828344771446,0.9746885,0.9754592499999999,0.974707975,0.9754262999999999,"42,123,456,789,2024",0.975082;0.974883;0.975459;0.974688;0.975130
LDA (OneHot),specificity_cv_mean,5,0.9217500000000001,0.0010752906583802937,0.9205,0.9227500000000001,0.920525,0.9227500000000001,"42,123,456,789,2024",0.922000;0.922750;0.922750;0.920500;0.920750
LDA (OneHot),specificity_mcc,5,0.8443143229217727,0.002167873194224968,0.8418152719660622,0.8463383960685446,0.8418598458469161,0.8463346650374738,"42,123,456,789,2024",0.844856;0.846338;0.846301;0.841815;0.842261
MOLM (ESM2),igg_aff_pval,5,3.327925569627704e-05,7.324059274060349e-05,1.221809103833141e-08,0.00016428999649942302,1.3843059138482954e-08,0.00014803300602801435,"42,123,456,789,2024",0.000000;0.000002;0.000164;0.000000;0.000000
MOLM (ESM2),igg_aff_rho,5,0.6780798596620737,0.07950220926817099,0.5494284508826931,0.7482769470545547,0.5607819539267636,0.7470199520746755,"42,123,456,789,2024",0.748277;0.662963;0.549428;0.694023;0.735707
MOLM (ESM2),igg_spec_pval,5,0.00021926107468436587,0.0002542904926549539,1.8271060986485936e-06,0.0005289124373721339,5.779215481218111e-06,0.0005222530981872257,"42,123,456,789,2024",0.000529;0.000462;0.000062;0.000002;0.000041
MOLM (ESM2),igg_spec_rho,5,0.5712804250613249,0.061316838034235224,0.5119598904049628,0.6617207262582993,0.512413956826608,0.6544070135382284,"42,123,456,789,2024",0.511960;0.516501;0.577637;0.661721;0.588584
MOLM (ESM2),iso_aff_pval,5,2.1021123389023166e-40,4.665102831899252e-40,5.135985252062163e-45,1.0447194209272557e-39,6.568907716598025e-45,9.408140950279236e-40,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
MOLM (ESM2),iso_aff_rho,5,0.8838425196850395,0.009863936646602576,0.8690303712035996,0.8938252718410199,0.8701570303712036,0.8935811023622048,"42,123,456,789,2024",0.884676;0.891384;0.880297;0.869030;0.893825
MOLM (ESM2),iso_spec_pval,5,6.886038277575192e-15,7.158939867320343e-15,1.2415298373366463e-15,1.9249876920459527e-14,1.4091030714429506e-15,1.7936905523010172e-14,"42,123,456,789,2024",0.000000;0.000000;0.000000;0.000000;0.000000
MOLM (ESM2),iso_spec_rho,5,0.6258411698537685,0.007817333187897409,0.6146441694788153,0.6359115110611174,0.6155530558680167,0.6352659917510312,"42,123,456,789,2024",0.614644;0.623733;0.629456;0.625461;0.635912
MOLM (Fusion-ESM2),igg_aff_pval,5,0.0035687422424438,0.00796344474556522,5.196456977504247e-09,0.01781417023800749,8.118249578867926e-09,0.01603549001244117,"42,123,456,789,2024",0.000027;0.000002;0.000000;0.017814;0.000000
MOLM (Fusion-ESM2),igg_aff_rho,5,0.6229829313182064,0.15797021293922037,0.3639608690127714,0.7602792217011435,0.38750316853915456,0.7575300520354722,"42,123,456,789,2024",0.599384;0.658503;0.760279;0.363961;0.732788
MOLM (Fusion-ESM2),igg_spec_pval,5,3.4958992037572986e-05,6.229127800402944e-05,4.64795730636746e-07,0.0001459489598428283,7.944217128703024e-07,0.00013283936012247824,"42,123,456,789,2024",0.000146;0.000010;0.000015;0.000004;0.000000
MOLM (Fusion-ESM2),igg_spec_rho,5,0.6254764958162627,0.04946834947274934,0.5529880349321898,0.6885592951091137,0.5591584732691898,0.6843429640509797,"42,123,456,789,2024",0.552988;0.624747;0.614692;0.646396;0.688559
