pareto_loss,dataset,model,score_type,recall_mean,recall_std,precision_mean,overlap_mean,predicted_mean
OFF,ISO,LDA,logits,0.06666666666666667,0.0,0.5,1.0,2.0
OFF,ISO,MOLM,logits,0.08,0.0557773351022717,0.4,1.2,3.0
OFF,ISO,MOLM-ST,logits,0.15999999999999998,0.1115546702045434,0.4416666666666667,2.4,5.0
OFF,ISO,MOLM-ST_latent_pca,latent_pca,0.2,0.15634719199411432,0.18653846153846154,3.0,14.8
OFF,ISO,MOLM-ST_probs,probs,0.15999999999999998,0.1115546702045434,0.4416666666666667,2.4,5.0
OFF,ISO,MOLM_latent_pca,latent_pca,0.2533333333333333,0.07302967433402215,0.21404970760233918,3.8,17.8
OFF,ISO,MOLM_probs,probs,0.08,0.0557773351022717,0.4,1.2,3.0
OFF,ISO,NN (Fusion-ESM2),logits,0.12,0.07302967433402216,0.3271428571428571,1.8,5.2
OFF,ISO,NN (OneHot),logits,0.16,0.03651483716701109,0.4644444444444444,2.4,5.6
OFF,IgG,LDA,logits,0.0,0.0,0.0,0.0,3.0
OFF,IgG,MOLM,logits,0.04,0.08944271909999159,0.06666666666666667,0.2,3.2
OFF,IgG,MOLM-ST,logits,0.2,0.2,0.17857142857142855,1.0,5.0
OFF,IgG,MOLM-ST_latent_pca,latent_pca,0.08,0.10954451150103324,0.07222222222222222,0.4,5.8
OFF,IgG,MOLM-ST_probs,probs,0.2,0.2,0.17857142857142855,1.0,5.0
OFF,IgG,MOLM_latent_pca,latent_pca,0.08,0.10954451150103323,0.046753246753246755,0.4,8.2
OFF,IgG,MOLM_probs,probs,0.04,0.08944271909999159,0.06666666666666667,0.2,3.2
OFF,IgG,NN (Fusion-ESM2),logits,0.24000000000000005,0.16733200530681513,0.18871794871794872,1.2,9.2
OFF,IgG,NN (OneHot),logits,0.2,0.2,0.16,1.0,6.0
ON,ISO,LDA,logits,0.06666666666666667,0.0,0.5,1.0,2.0
ON,ISO,MOLM,logits,0.08,0.07302967433402215,0.3,1.2,3.6
ON,ISO,MOLM-ST,logits,0.15999999999999998,0.1115546702045434,0.4416666666666667,2.4,5.0
ON,ISO,MOLM-ST_latent_pca,latent_pca,0.2,0.15634719199411432,0.18653846153846154,3.0,14.8
ON,ISO,MOLM-ST_probs,probs,0.15999999999999998,0.1115546702045434,0.4416666666666667,2.4,5.0
ON,ISO,MOLM_latent_pca,latent_pca,0.21333333333333332,0.11925695879998878,0.1895562435500516,3.2,16.6
ON,ISO,MOLM_probs,probs,0.08,0.07302967433402215,0.3,1.2,3.6
ON,ISO,NN (Fusion-ESM2),logits,0.12,0.07302967433402216,0.3271428571428571,1.8,5.2
ON,ISO,NN (OneHot),logits,0.16,0.03651483716701109,0.4644444444444444,2.4,5.6
ON,IgG,LDA,logits,0.0,0.0,0.0,0.0,3.0
ON,IgG,MOLM,logits,0.16,0.16733200530681513,0.16666666666666666,0.8,3.6
ON,IgG,MOLM-ST,logits,0.2,0.2,0.17857142857142855,1.0,5.0
ON,IgG,MOLM-ST_latent_pca,latent_pca,0.08,0.10954451150103324,0.07222222222222222,0.4,5.8
ON,IgG,MOLM-ST_probs,probs,0.2,0.2,0.17857142857142855,1.0,5.0
ON,IgG,MOLM_latent_pca,latent_pca,0.2,0.14142135623730953,0.11857142857142858,1.0,7.6
ON,IgG,MOLM_probs,probs,0.16,0.16733200530681513,0.16666666666666666,0.8,3.6
ON,IgG,NN (Fusion-ESM2),logits,0.24000000000000005,0.16733200530681513,0.18871794871794872,1.2,9.2
ON,IgG,NN (OneHot),logits,0.2,0.2,0.16,1.0,6.0
