pareto_loss,model,iso_aff_rho_mean,iso_aff_rho_std,iso_spec_rho_mean,iso_spec_rho_std,igg_aff_rho_mean,igg_aff_rho_std,igg_spec_rho_mean,igg_spec_rho_std
OFF,LDA (ESM2),0.8404739407574053,0.0,0.7183832020997376,0.0,0.6749657559699859,0.0,0.6210169148893903,0.0
OFF,LDA (Fusion-ESM2),0.8384041994750657,0.0,0.6922024746906638,0.0,0.6057093874011564,0.0,0.5611774471797193,0.0
OFF,LDA (OneHot),0.868652418447694,0.0,0.6694773153355831,0.0,0.7190822249412309,0.0,0.7694804181094547,0.0
OFF,MOLM (ESM2),0.8838425196850395,0.009863936646602572,0.6258411698537684,0.007817333187897428,0.6780798596620737,0.079502209268171,0.5712804250613249,0.06131683803423521
OFF,MOLM (Fusion-ESM2),0.8762642669666292,0.012692836312632063,0.6608179977502813,0.023349404138284284,0.6229829313182064,0.15797021293922037,0.6254764958162629,0.04946834947274931
OFF,MOLM (OneHot),0.8682948631421074,0.01363702430100854,0.6622626171728535,0.013612419822036289,0.4227395762009302,0.1349060157600826,0.6473527673448118,0.07687120073675459
OFF,MOLM-ST (ESM2),0.8828094488188978,0.009049364572756579,0.6486275215598051,0.003986910418853406,0.6994244453849261,0.03138687221990455,0.63921200507103,0.02872252360789907
OFF,MOLM-ST (Fusion-ESM2),0.8678725159355082,0.006116564258294914,0.6609415823022122,0.0179872622359262,0.549817713844204,0.056383977246908176,0.6931648259572294,0.05179786234528592
OFF,MOLM-ST (OneHot),0.852477240344957,0.008100833185546868,0.6755389576302963,0.01620318631893242,0.5487634599901118,0.07938624679373009,0.6792022834916395,0.10812225756479871
OFF,NN (ESM2),0.8756636715837913,0.0036013068832395404,0.6371717771409882,0.0032407472055940053,0.7244410017646933,0.01611479576929383,0.6086240970727251,0.013229462561762266
OFF,NN (Fusion-ESM2),0.8620981107859848,0.004574039928395522,0.6939830215070006,0.007752035105872534,0.6638546314731917,0.03402108619998323,0.7024099041388497,0.034436617274994356
OFF,NN (OneHot),0.8633051563517501,0.0035682482872187566,0.6939449428483533,0.007945310956625493,0.6387291126341704,0.02966017013015217,0.7229060721645777,0.020089797702208916
ON,LDA (ESM2),0.8404739407574053,0.0,0.7183832020997376,0.0,0.6749657559699859,0.0,0.6210169148893903,0.0
ON,LDA (Fusion-ESM2),0.8384041994750657,0.0,0.6922024746906638,0.0,0.6057093874011564,0.0,0.5611774471797193,0.0
ON,LDA (OneHot),0.868652418447694,0.0,0.6694773153355831,0.0,0.7190822249412309,0.0,0.7694804181094547,0.0
ON,MOLM (ESM2),0.8676529433820773,0.018041409163450338,0.6235626546681665,0.01848613240208894,0.6197552925956777,0.051908171167960836,0.5387498092820296,0.06482710672125401
ON,MOLM (Fusion-ESM2),0.8596319460067493,0.007877935539415945,0.6756049493813274,0.02497429290746572,0.5768714896692175,0.09578743197540784,0.6176114167270512,0.12388652371353603
ON,MOLM (OneHot),0.855648443944507,0.005070728579421684,0.6793892763404574,0.02374536964852352,0.5219043156458538,0.15703655554332613,0.6721480372982229,0.08448183468037669
ON,MOLM-ST (ESM2),0.8828094488188978,0.009049364572756579,0.6486275215598051,0.003986910418853406,0.6994244453849261,0.03138687221990455,0.63921200507103,0.02872252360789907
ON,MOLM-ST (Fusion-ESM2),0.8678725159355082,0.006116564258294914,0.6609415823022122,0.0179872622359262,0.549817713844204,0.056383977246908176,0.6931648259572294,0.05179786234528592
ON,MOLM-ST (OneHot),0.852477240344957,0.008100833185546868,0.6755389576302963,0.01620318631893242,0.5487634599901118,0.07938624679373009,0.6792022834916395,0.10812225756479871
ON,NN (ESM2),0.8756636715837913,0.0036013068832395404,0.6371717771409882,0.0032407472055940053,0.7244410017646933,0.01611479576929383,0.6086240970727251,0.013229462561762266
ON,NN (Fusion-ESM2),0.8620981107859848,0.004574039928395522,0.6939830215070006,0.007752035105872534,0.6638546314731917,0.03402108619998323,0.7024099041388497,0.034436617274994356
ON,NN (OneHot),0.8633051563517501,0.0035682482872187566,0.6939449428483533,0.007945310956625493,0.6387291126341704,0.02966017013015217,0.7229060721645777,0.020089797702208916
