model,iso_aff_rho,iso_spec_rho,igg_aff_rho,igg_spec_rho,seed,pareto_loss
MOLM (OneHot),0.8491068616422948,0.6424206974128235,0.22098782710779905,0.5666911108711252,42,OFF
MOLM-ST (OneHot),0.8552380952380954,0.6631841019872516,0.5744872540299627,0.6708020546912032,42,OFF
MOLM (ESM2),0.8846764154480691,0.6146441694788153,0.7482769470545547,0.5119598904049628,42,OFF
MOLM-ST (ESM2),0.8735478065241845,0.6546111736032997,0.7361124795073365,0.6259629955537398,42,OFF
MOLM (Fusion-ESM2),0.8814788151481064,0.640254968128984,0.5993838642766028,0.5529880349321898,42,OFF
MOLM-ST (Fusion-ESM2),0.8768533933258345,0.6553790776152981,0.5639447154890402,0.6545043134857237,42,OFF
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,42,OFF
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,42,OFF
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,42,OFF
NN (OneHot),0.8634630671166106,0.6963719535058118,0.6142245146842092,0.7360741028027008,42,OFF
NN (ESM2),0.8766650716889732,0.6390906441637508,0.7008619998725432,0.6086919634876061,42,OFF
NN (Fusion-ESM2),0.8696490541519568,0.6999782525412785,0.6276865254364641,0.7307226056904538,42,OFF
MOLM (OneHot),0.872755905511811,0.668379452568429,0.35901398554356934,0.6506123155859077,123,OFF
MOLM-ST (OneHot),0.8499767529058868,0.6883629546306712,0.46703445736286775,0.7149924475120308,123,OFF
MOLM (ESM2),0.8913835770528686,0.6237330333708287,0.6629634813233972,0.5165005546214148,123,OFF
MOLM-ST (ESM2),0.8920194975628049,0.6477480314960631,0.6646665067800077,0.6140437519855533,123,OFF
MOLM (Fusion-ESM2),0.8694203224596927,0.6396370453693289,0.6585031765560838,0.6247467462100473,123,OFF
MOLM-ST (Fusion-ESM2),0.8600674915635547,0.6328818897637796,0.493066417913915,0.6773698011471426,123,OFF
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,123,OFF
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,123,OFF
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,123,OFF
NN (OneHot),0.865424821897263,0.6981717285339333,0.6395266071824232,0.7286144401613868,123,OFF
NN (ESM2),0.8707178776296433,0.6322146384320249,0.7249992877721736,0.5857295194634201,123,OFF
NN (Fusion-ESM2),0.8612377581012451,0.6864978825462273,0.6903903350682659,0.678655820636991,123,OFF
MOLM (OneHot),0.8847844019497565,0.6739407574053244,0.5633770403368367,0.7253711085782067,456,OFF
MOLM-ST (OneHot),0.8395260592425948,0.6533033370828648,0.5112320227844276,0.4993919805201403,456,OFF
MOLM (ESM2),0.88029696287964,0.629456317960255,0.5494284508826931,0.5776373549643576,456,OFF
MOLM-ST (ESM2),0.8726119235095613,0.6475260592425947,0.6877789951197224,0.6545043134857237,456,OFF
MOLM (Fusion-ESM2),0.8895418072740908,0.6809958755155606,0.7602792217011435,0.6146924183021892,456,OFF
MOLM-ST (Fusion-ESM2),0.8684064491938508,0.6745886764154482,0.6223341597156881,0.7203439446242776,456,OFF
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,456,OFF
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,456,OFF
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,456,OFF
NN (OneHot),0.8578561154670367,0.6798551776903002,0.6892807865173869,0.6877479401612576,456,OFF
NN (ESM2),0.8795403347159988,0.6396010498687664,0.7203883254495962,0.6174492501478923,456,OFF
NN (Fusion-ESM2),0.859343257327776,0.6852493788873503,0.6954757087797292,0.6541904056550483,456,OFF
MOLM (OneHot),0.8609973753280842,0.6540232470941133,0.4699539295742001,0.7213169440992316,789,OFF
MOLM-ST (OneHot),0.8583997000374953,0.6854833145856768,0.5178008352599255,0.7824537444421746,789,OFF
MOLM (ESM2),0.8690303712035996,0.6254608173978253,0.6940234217939613,0.6617207262582993,789,OFF
MOLM-ST (ESM2),0.8884079490063742,0.649607799025122,0.7288137989790056,0.6823158818114923,789,OFF
MOLM (Fusion-ESM2),0.8576677915260593,0.6533033370828648,0.3639608690127714,0.6463959845277737,789,OFF
MOLM-ST (Fusion-ESM2),0.8687964004499438,0.6642159730033746,0.5772445333406656,0.6440445691299683,789,OFF
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,789,OFF
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,789,OFF
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,789,OFF
NN (OneHot),0.8673085864266967,0.698800351650849,0.6243057690057201,0.7265873579218992,789,OFF
NN (ESM2),0.8780832395950506,0.639434297192066,0.73092230668719,0.6156654177771432,789,OFF
NN (Fusion-ESM2),0.8578284840108709,0.6959428857389993,0.6790883164991273,0.7171904999942454,789,OFF
MOLM (OneHot),0.8738297712785902,0.6725489313835772,0.500365098442246,0.5727723575895878,2024,OFF
MOLM-ST (OneHot),0.8592455943007126,0.6873610798650169,0.6732627305133754,0.7283711902926482,2024,OFF
MOLM (ESM2),0.8938252718410199,0.6359115110611174,0.7357069972557625,0.5885835990575903,2024,OFF
MOLM-ST (ESM2),0.8874600674915637,0.6436445444319461,0.6797504465385583,0.6192330825186413,2024,OFF
MOLM (Fusion-ESM2),0.8832125984251971,0.6898987626546682,0.7327875250444301,0.6885592951091137,2024,OFF
MOLM-ST (Fusion-ESM2),0.865238845144357,0.677642294713161,0.4924987427617114,0.7695615013990342,2024,OFF
LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,2024,OFF
LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,2024,OFF
LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,2024,OFF
NN (OneHot),0.8624731908511436,0.6965255028608723,0.6263078857811127,0.7355065197756442,2024,OFF
NN (ESM2),0.873311834289291,0.6355182560483327,0.7450330890419633,0.6155843344875638,2024,OFF
NN (Fusion-ESM2),0.8624320003380749,0.7022467078211478,0.6266322715823718,0.7312901887175102,2024,OFF
MOLM (OneHot),0.8537022872140984,0.6464641919760031,0.6184415301005781,0.5692046928480897,42,ON
MOLM-ST (OneHot),0.8552380952380954,0.6631841019872516,0.5744872540299627,0.6708020546912032,42,ON
MOLM (ESM2),0.870422197225347,0.5979242594675666,0.6616659381183605,0.4946080664349498,42,ON
MOLM-ST (ESM2),0.8735478065241845,0.6546111736032997,0.7361124795073365,0.6259629955537398,42,ON
