model,metric,n_seeds,mean,std
LDA (ESM2),affinity_auc,5,0.9748337911445919,0.0006966752121986098
LDA (ESM2),affinity_cv_mean,5,0.9311,0.0013532368602724078
LDA (ESM2),affinity_cv_std,5,0.008409986487117004,0.0036822424021425598
LDA (ESM2),affinity_mcc,5,0.8548003692113617,0.0028558012130886737
LDA (ESM2),specificity_auc,5,0.976681525,0.001039924934941252
LDA (ESM2),specificity_cv_mean,5,0.92875,0.0013110110602126508
LDA (ESM2),specificity_cv_std,5,0.008491712720432998,0.0006989412293214932
LDA (ESM2),specificity_mcc,5,0.8575040892757704,0.002619859327360427
LDA (Fusion-ESM2),affinity_auc,5,0.9722747483631389,0.0007519628618881125
LDA (Fusion-ESM2),affinity_cv_mean,5,0.92825,0.0024811791551599496
LDA (Fusion-ESM2),affinity_cv_std,5,0.008853994482173413,0.003821286057998437
LDA (Fusion-ESM2),affinity_mcc,5,0.8491593651123562,0.005290584749752839
LDA (Fusion-ESM2),specificity_auc,5,0.9752297750000001,0.0005591677996138676
LDA (Fusion-ESM2),specificity_cv_mean,5,0.92875,0.0014684175155588357
LDA (Fusion-ESM2),specificity_cv_std,5,0.007984400648047655,0.0025060791815743636
LDA (Fusion-ESM2),specificity_mcc,5,0.8575063135453129,0.002932979323012843
LDA (OneHot),affinity_auc,5,0.9733942615323825,0.0003168786381772918
LDA (OneHot),affinity_cv_mean,5,0.92175,0.0009519716382330077
LDA (OneHot),affinity_cv_std,5,0.009920903410559487,0.0032065705041269127
LDA (OneHot),affinity_mcc,5,0.8384427432350179,0.002031862480324946
LDA (OneHot),specificity_auc,5,0.9750486,0.00028868828344771446
LDA (OneHot),specificity_cv_mean,5,0.9217500000000001,0.0010752906583802937
LDA (OneHot),specificity_cv_std,5,0.009651925185683752,0.002140484819487137
LDA (OneHot),specificity_mcc,5,0.8443143229217727,0.002167873194224968
NN (ESM2),affinity_auc_mean,5,0.9524127798792368,0.002803002782038496
NN (ESM2),affinity_auc_std,5,0.007031627926613214,0.002681602327769235
NN (ESM2),affinity_cv_mean,10,0.8907999999999999,0.005305657357953052
NN (ESM2),affinity_cv_std,10,0.011458264922699652,0.004998129090106379
NN (ESM2),affinity_mcc_mean,5,0.7701364967610819,0.010713812281060478
NN (ESM2),affinity_mcc_std,5,0.02334593347033931,0.010747825346769681
NN (ESM2),specificity_auc_mean,5,0.960223125,0.0010822970003076685
NN (ESM2),specificity_auc_std,5,0.005530688131005876,0.0011314300015913344
NN (ESM2),specificity_cv_mean,10,0.9012499999999999,0.0035276684147528027
NN (ESM2),specificity_cv_std,10,0.01018281785624292,0.0038708627385435398
NN (ESM2),specificity_mcc_mean,5,0.8037406737612681,0.0070629055965500745
NN (ESM2),specificity_mcc_std,5,0.019673085763538923,0.007668173745296045
NN (Fusion-ESM2),affinity_auc_mean,5,0.9767126884217383,0.0005950298492483472
NN (Fusion-ESM2),affinity_auc_std,5,0.004062115489430243,0.0005788649822165457
NN (Fusion-ESM2),affinity_cv_mean,10,0.9350999999999999,0.0011377365443916935
NN (Fusion-ESM2),affinity_cv_std,10,0.009200228223853253,0.0037536353681041227
NN (Fusion-ESM2),affinity_mcc_mean,5,0.8632782904071972,0.0023246503498627912
NN (Fusion-ESM2),affinity_mcc_std,5,0.019155312472328753,0.008308277550510015
NN (Fusion-ESM2),specificity_auc_mean,5,0.9773668750000001,0.00020942536707622096
NN (Fusion-ESM2),specificity_auc_std,5,0.003966849689463442,0.0008552040445149538
NN (Fusion-ESM2),specificity_cv_mean,10,0.92845,0.0027608372321131633
NN (Fusion-ESM2),specificity_cv_std,10,0.00904900387572305,0.0023957204569697963
NN (Fusion-ESM2),specificity_mcc_mean,5,0.8574955614627235,0.005643651953635946
NN (Fusion-ESM2),specificity_mcc_std,5,0.017796998864759394,0.00485321359228053
NN (OneHot),affinity_auc_mean,5,0.9762778885539447,0.00048693371129307587
NN (OneHot),affinity_auc_std,5,0.004272357482243839,0.0006930242012079766
NN (OneHot),affinity_cv_mean,10,0.9341999999999999,0.0013059692016106582
NN (OneHot),affinity_cv_std,10,0.009187322402475757,0.003733200454922025
NN (OneHot),affinity_mcc_mean,5,0.8611767304455122,0.002762858432764738
NN (OneHot),affinity_mcc_std,5,0.019259670042952075,0.008050649766365636
NN (OneHot),specificity_auc_mean,5,0.97712175,0.00020331788918461383
NN (OneHot),specificity_auc_std,5,0.004171609772562923,0.0012100455339869767
NN (OneHot),specificity_cv_mean,10,0.92825,0.001632993161855393
NN (OneHot),specificity_cv_std,10,0.008150348554120963,0.002671208308849216
NN (OneHot),specificity_mcc_mean,5,0.8568079868649585,0.0033976883320956624
NN (OneHot),specificity_mcc_std,5,0.01631719570923218,0.005528572970133586
