model,metric,value,seed
LDA (OneHot),affinity_cv_mean,0.922,42
LDA (OneHot),affinity_cv_std,0.008046738469715525,42
LDA (OneHot),affinity_mcc,0.8389555677418044,42
LDA (OneHot),affinity_auc,0.9730425116524118,42
LDA (OneHot),specificity_cv_mean,0.9219999999999999,42
LDA (OneHot),specificity_cv_std,0.009239859306288175,42
LDA (OneHot),specificity_mcc,0.8448558500418183,42
LDA (OneHot),specificity_auc,0.97508225,42
LDA (ESM2),affinity_cv_mean,0.9295,42
LDA (ESM2),affinity_cv_std,0.005733672470589823,42
LDA (ESM2),affinity_mcc,0.8514815888621973,42
LDA (ESM2),affinity_auc,0.9748084309501654,42
LDA (ESM2),specificity_cv_mean,0.92775,42
LDA (ESM2),specificity_cv_std,0.008710625695092199,42
LDA (ESM2),specificity_mcc,0.8555052399856424,42
LDA (ESM2),specificity_auc,0.9764495,42
LDA (Fusion-ESM2),affinity_cv_mean,0.9254999999999999,42
LDA (Fusion-ESM2),affinity_cv_std,0.0074833147735478694,42
LDA (Fusion-ESM2),affinity_mcc,0.843501891334639,42
LDA (Fusion-ESM2),affinity_auc,0.9715997688637359,42
LDA (Fusion-ESM2),specificity_cv_mean,0.9272500000000001,42
LDA (Fusion-ESM2),specificity_cv_std,0.00919918474648706,42
LDA (Fusion-ESM2),specificity_mcc,0.8545180518845211,42
LDA (Fusion-ESM2),specificity_auc,0.9746405,42
NN (OneHot),affinity_cv_mean,0.9344999999999999,42
NN (OneHot),affinity_cv_std,0.01241470901793512,42
NN (OneHot),affinity_mcc_mean,0.8613251224958851,42
NN (OneHot),affinity_mcc_std,0.02641449790505098,42
NN (OneHot),affinity_auc_mean,0.9761000836546255,42
NN (OneHot),affinity_auc_std,0.004070613745143232,42
NN (OneHot),specificity_cv_mean,0.9265000000000001,42
NN (OneHot),specificity_cv_std,0.007305819598101248,42
NN (OneHot),specificity_mcc_mean,0.85335281306652,42
NN (OneHot),specificity_mcc_std,0.0147153208358076,42
NN (OneHot),specificity_auc_mean,0.97706125,42
NN (OneHot),specificity_auc_std,0.0034415871157069265,42
NN (OneHot),affinity_cv_mean,0.9344999999999999,42
NN (OneHot),affinity_cv_std,0.01241470901793512,42
NN (OneHot),specificity_cv_mean,0.9265000000000001,42
NN (OneHot),specificity_cv_std,0.007305819598101248,42
NN (ESM2),affinity_cv_mean,0.8945000000000001,42
NN (ESM2),affinity_cv_std,0.01805547008526781,42
NN (ESM2),affinity_mcc_mean,0.7764645750155401,42
NN (ESM2),affinity_mcc_std,0.038174440778033704,42
NN (ESM2),affinity_auc_mean,0.9528649978891458,42
NN (ESM2),affinity_auc_std,0.010204956594734346,42
NN (ESM2),specificity_cv_mean,0.905,42
NN (ESM2),specificity_cv_std,0.011884864324004705,42
NN (ESM2),specificity_mcc_mean,0.8110394353363407,42
NN (ESM2),specificity_mcc_std,0.022898351037780307,42
NN (ESM2),specificity_auc_mean,0.9610625,42
NN (ESM2),specificity_auc_std,0.005201341849104893,42
NN (ESM2),affinity_cv_mean,0.8945000000000001,42
NN (ESM2),affinity_cv_std,0.01805547008526781,42
NN (ESM2),specificity_cv_mean,0.905,42
NN (ESM2),specificity_cv_std,0.011884864324004705,42
NN (Fusion-ESM2),affinity_cv_mean,0.9354999999999999,42
NN (Fusion-ESM2),affinity_cv_std,0.010018732454756943,42
NN (Fusion-ESM2),affinity_mcc_mean,0.8635041050042703,42
NN (Fusion-ESM2),affinity_mcc_std,0.02166956839401289,42
NN (Fusion-ESM2),affinity_auc_mean,0.9768257019486686,42
NN (Fusion-ESM2),affinity_auc_std,0.0035689747226233387,42
NN (Fusion-ESM2),specificity_cv_mean,0.924,42
NN (Fusion-ESM2),specificity_cv_std,0.010259142264341603,42
NN (Fusion-ESM2),specificity_mcc_mean,0.8490802115043051,42
NN (Fusion-ESM2),specificity_mcc_std,0.01985865803445937,42
NN (Fusion-ESM2),specificity_auc_mean,0.97753625,42
NN (Fusion-ESM2),specificity_auc_std,0.0034671936823964674,42
NN (Fusion-ESM2),affinity_cv_mean,0.9354999999999999,42
NN (Fusion-ESM2),affinity_cv_std,0.010018732454756943,42
NN (Fusion-ESM2),specificity_cv_mean,0.924,42
NN (Fusion-ESM2),specificity_cv_std,0.010259142264341603,42
LDA (OneHot),affinity_cv_mean,0.9215,123
LDA (OneHot),affinity_cv_std,0.014040121082098993,123
LDA (OneHot),affinity_mcc,0.8378085195516977,123
LDA (OneHot),affinity_auc,0.9732148547538018,123
LDA (OneHot),specificity_cv_mean,0.9227500000000001,123
LDA (OneHot),specificity_cv_std,0.012232129822725072,123
LDA (OneHot),specificity_mcc,0.8463383960685446,123
LDA (OneHot),specificity_auc,0.97488325,123
LDA (ESM2),affinity_cv_mean,0.931,123
LDA (ESM2),affinity_cv_std,0.014413535305399574,123
LDA (ESM2),affinity_mcc,0.8544704460344038,123
LDA (ESM2),affinity_auc,0.9751031934194145,123
LDA (ESM2),specificity_cv_mean,0.9270000000000002,123
LDA (ESM2),specificity_cv_std,0.008573214099741096,123
LDA (ESM2),specificity_mcc,0.8540068320819851,123
LDA (ESM2),specificity_auc,0.9752481249999999,123
LDA (Fusion-ESM2),affinity_cv_mean,0.9272499999999999,123
LDA (Fusion-ESM2),affinity_cv_std,0.013995535002278398,123
LDA (Fusion-ESM2),affinity_mcc,0.8468255627177372,123
LDA (Fusion-ESM2),affinity_auc,0.9729096029894757,123
LDA (Fusion-ESM2),specificity_cv_mean,0.92925,123
LDA (Fusion-ESM2),specificity_cv_std,0.004782781617427258,123
LDA (Fusion-ESM2),specificity_mcc,0.8585026828250757,123
LDA (Fusion-ESM2),specificity_auc,0.9752745000000002,123
NN (OneHot),affinity_cv_mean,0.9355,123
NN (OneHot),affinity_cv_std,0.012956658519849937,123
NN (OneHot),affinity_mcc_mean,0.8646283748112416,123
NN (OneHot),affinity_mcc_std,0.02661374110542678,123
NN (OneHot),affinity_auc_mean,0.9762178755498893,123
NN (OneHot),affinity_auc_std,0.00549283111838288,123
NN (OneHot),specificity_cv_mean,0.9289999999999999,123
NN (OneHot),specificity_cv_std,0.011816302298096498,123
NN (OneHot),specificity_mcc_mean,0.8582139468845785,123
NN (OneHot),specificity_mcc_std,0.023498173527726086,123
NN (OneHot),specificity_auc_mean,0.9772825,123
NN (OneHot),specificity_auc_std,0.0028519412248501873,123
NN (OneHot),affinity_cv_mean,0.9355,123
NN (OneHot),affinity_cv_std,0.012956658519849937,123
NN (OneHot),specificity_cv_mean,0.9289999999999999,123
NN (OneHot),specificity_cv_std,0.011816302298096498,123
NN (ESM2),affinity_cv_mean,0.8960000000000001,123
NN (ESM2),affinity_cv_std,0.0059895742753554495,123
NN (ESM2),affinity_mcc_mean,0.7815075297791423,123
NN (ESM2),affinity_mcc_std,0.010904289876613139,123
NN (ESM2),affinity_auc_mean,0.9545863113090084,123
NN (ESM2),affinity_auc_std,0.0069826431835075115,123
NN (ESM2),specificity_cv_mean,0.9029999999999999,123
NN (ESM2),specificity_cv_std,0.006595452979136467,123
NN (ESM2),specificity_mcc_mean,0.8070326959095834,123
NN (ESM2),specificity_mcc_std,0.013251485283800893,123
NN (ESM2),specificity_auc_mean,0.960150625,123
NN (ESM2),specificity_auc_std,0.005681330582486854,123
NN (ESM2),affinity_cv_mean,0.8960000000000001,123
NN (ESM2),affinity_cv_std,0.0059895742753554495,123
NN (ESM2),specificity_cv_mean,0.9029999999999999,123
NN (ESM2),specificity_cv_std,0.006595452979136467,123
NN (Fusion-ESM2),affinity_cv_mean,0.93675,123
NN (Fusion-ESM2),affinity_cv_std,0.013842868199907123,123
NN (Fusion-ESM2),affinity_mcc_mean,0.8662602802819117,123
NN (Fusion-ESM2),affinity_mcc_std,0.029292471508112632,123
NN (Fusion-ESM2),affinity_auc_mean,0.9775739325773204,123
NN (Fusion-ESM2),affinity_auc_std,0.004798657809909022,123
NN (Fusion-ESM2),specificity_cv_mean,0.92875,123
NN (Fusion-ESM2),specificity_cv_std,0.010868532559642083,123
NN (Fusion-ESM2),specificity_mcc_mean,0.8577536710904153,123
NN (Fusion-ESM2),specificity_mcc_std,0.021532584800926576,123
NN (Fusion-ESM2),specificity_auc_mean,0.977129375,123
NN (Fusion-ESM2),specificity_auc_std,0.002876282051103461,123
NN (Fusion-ESM2),affinity_cv_mean,0.93675,123
NN (Fusion-ESM2),affinity_cv_std,0.013842868199907123,123
NN (Fusion-ESM2),specificity_cv_mean,0.92875,123
NN (Fusion-ESM2),specificity_cv_std,0.010868532559642083,123
LDA (OneHot),affinity_cv_mean,0.92075,456
LDA (OneHot),affinity_cv_std,0.011141139977578615,456
LDA (OneHot),affinity_mcc,0.836187716042611,456
LDA (OneHot),affinity_auc,0.9733014246321577,456
LDA (OneHot),specificity_cv_mean,0.92275,456
LDA (OneHot),specificity_cv_std,0.009565563234854522,456
LDA (OneHot),specificity_mcc,0.8463010857578372,456
LDA (OneHot),specificity_auc,0.9754592499999999,456
LDA (ESM2),affinity_cv_mean,0.9332499999999999,456
LDA (ESM2),affinity_cv_std,0.006051859218455111,456
LDA (ESM2),affinity_mcc,0.8593702467570494,456
LDA (ESM2),affinity_auc,0.975820581537141,456
LDA (ESM2),specificity_cv_mean,0.92975,456
LDA (ESM2),specificity_cv_std,0.007881941385217205,456
LDA (ESM2),specificity_mcc,0.8595026859500904,456
LDA (ESM2),specificity_auc,0.977620125,456
LDA (Fusion-ESM2),affinity_cv_mean,0.93225,456
LDA (Fusion-ESM2),affinity_cv_std,0.007516648189186441,456
LDA (Fusion-ESM2),affinity_mcc,0.857766231509499,456
LDA (Fusion-ESM2),affinity_auc,0.9731864407139731,456
LDA (Fusion-ESM2),specificity_cv_mean,0.931,456
LDA (Fusion-ESM2),specificity_cv_std,0.0066332495807108075,456
