model,metric,value,seed
MOLM (OneHot),affinity_accs_mean,0.9342499999999999,42
MOLM (OneHot),affinity_accs_std,0.00947364766074821,42
MOLM (OneHot),specificity_accs_mean,0.9262500000000001,42
MOLM (OneHot),specificity_accs_std,0.010517841983981294,42
MOLM (OneHot),aff_aucs_mean,0.976460314035662,42
MOLM (OneHot),aff_aucs_std,0.0020757320601935978,42
MOLM (OneHot),spec_aucs_mean,0.9785075000000001,42
MOLM (OneHot),spec_aucs_std,0.004091392259977055,42
MOLM (OneHot),aff_aps_mean,0.9680900567084751,42
MOLM (OneHot),aff_aps_std,0.0027271321661696125,42
MOLM (OneHot),spec_aps_mean,0.9788516937863212,42
MOLM (OneHot),spec_aps_std,0.004534277912068963,42
MOLM (OneHot),aff_mccs_mean,0.862612009374273,42
MOLM (OneHot),aff_mccs_std,0.016999081444547964,42
MOLM (OneHot),spec_mccs_mean,0.8536590483886515,42
MOLM (OneHot),spec_mccs_std,0.021033211398444406,42
MOLM (OneHot),affinity_mean,0.9342499999999999,42
MOLM (OneHot),affinity_std,0.00947364766074821,42
MOLM (OneHot),specificity_mean,0.9262500000000001,42
MOLM (OneHot),specificity_std,0.010517841983981294,42
MOLM (ESM2),affinity_accs_mean,0.8854999999999998,42
MOLM (ESM2),affinity_accs_std,0.006254998001598388,42
MOLM (ESM2),specificity_accs_mean,0.9047499999999999,42
MOLM (ESM2),specificity_accs_std,0.0032977264895682,42
MOLM (ESM2),aff_aucs_mean,0.9525165442454974,42
MOLM (ESM2),aff_aucs_std,0.0038081870421911817,42
MOLM (ESM2),spec_aucs_mean,0.9626224999999999,42
MOLM (ESM2),spec_aucs_std,0.0020650348060020727,42
MOLM (ESM2),aff_aps_mean,0.9270195193754306,42
MOLM (ESM2),aff_aps_std,0.007635778419439564,42
MOLM (ESM2),spec_aps_mean,0.962902943716396,42
MOLM (ESM2),spec_aps_std,0.0025755073442434505,42
MOLM (ESM2),aff_mccs_mean,0.7644393039462426,42
MOLM (ESM2),aff_mccs_std,0.015984389568589878,42
MOLM (ESM2),spec_mccs_mean,0.8105635634814792,42
MOLM (ESM2),spec_mccs_std,0.006384559875251224,42
MOLM (ESM2),affinity_mean,0.8854999999999998,42
MOLM (ESM2),affinity_std,0.006254998001598388,42
MOLM (ESM2),specificity_mean,0.9047499999999999,42
MOLM (ESM2),specificity_std,0.0032977264895682,42
