model,iso_aff_rho_mean,iso_aff_rho_std,iso_aff_rho_count,iso_spec_rho_mean,iso_spec_rho_std,iso_spec_rho_count,igg_aff_rho_mean,igg_aff_rho_std,igg_aff_rho_count,igg_spec_rho_mean,igg_spec_rho_std,igg_spec_rho_count
LDA (ESM2),0.8404739407574053,0.0,5,0.7183832020997376,0.0,5,0.6749657559699859,0.0,5,0.6210169148893903,0.0,5
LDA (Fusion-ESM2),0.8384041994750657,0.0,5,0.6922024746906638,0.0,5,0.6057093874011564,0.0,5,0.5611774471797193,0.0,5
LDA (OneHot),0.868652418447694,0.0,5,0.6694773153355831,0.0,5,0.7190822249412309,0.0,5,0.7694804181094547,0.0,5
MOLM (ESM2),0.8838425196850395,0.009863936646602572,5,0.6258411698537684,0.007817333187897428,5,0.6780798596620737,0.079502209268171,5,0.5712804250613249,0.06131683803423521,5
MOLM (Fusion-ESM2),0.8762642669666292,0.012692836312632063,5,0.6608179977502813,0.023349404138284284,5,0.6229829313182064,0.15797021293922037,5,0.6254764958162629,0.04946834947274931,5
MOLM (OneHot),0.8682948631421074,0.01363702430100854,5,0.6622626171728535,0.013612419822036289,5,0.4227395762009302,0.1349060157600826,5,0.6473527673448118,0.07687120073675459,5
MOLM-ST (ESM2),0.8828094488188978,0.009049364572756579,5,0.6486275215598051,0.003986910418853406,5,0.6994244453849261,0.03138687221990455,5,0.63921200507103,0.02872252360789907,5
MOLM-ST (Fusion-ESM2),0.8678725159355082,0.006116564258294914,5,0.6609415823022122,0.0179872622359262,5,0.549817713844204,0.056383977246908176,5,0.6931648259572294,0.05179786234528592,5
MOLM-ST (OneHot),0.852477240344957,0.008100833185546868,5,0.6755389576302963,0.01620318631893242,5,0.5487634599901118,0.07938624679373009,5,0.6792022834916395,0.10812225756479871,5
NN (ESM2),0.8756636715837913,0.0036013068832395404,5,0.6371717771409882,0.0032407472055940053,5,0.7244410017646933,0.01611479576929383,5,0.6086240970727251,0.013229462561762266,5
NN (Fusion-ESM2),0.8620981107859848,0.004574039928395522,5,0.6939830215070006,0.007752035105872534,5,0.6638546314731917,0.03402108619998323,5,0.7024099041388497,0.034436617274994356,5
NN (OneHot),0.8633051563517501,0.0035682482872187566,5,0.6939449428483533,0.007945310956625493,5,0.6387291126341704,0.02966017013015217,5,0.7229060721645777,0.020089797702208916,5
