seed,model,iso_aff_rho,iso_spec_rho,igg_aff_rho,igg_spec_rho,iso_aff_pval,iso_spec_pval,igg_aff_pval,igg_spec_pval
42,MOLM (OneHot),0.8491068616422948,0.6424206974128235,0.22098782710779905,0.5666911108711252,3.5745418964999026e-36,5.1390020253671555e-16,0.15960507352747738,9.13608931321547e-05
42,MOLM-ST (OneHot),0.8552380952380954,0.6631841019872516,0.5744872540299627,0.6708020546912032,3.3293109183994333e-37,2.661176015812403e-17,6.93353784260745e-05,1.1678252375550243e-06
42,MOLM (ESM2),0.8846764154480691,0.6146441694788153,0.7482769470545547,0.5119598904049628,6.459853948182565e-43,1.9249876920459527e-14,1.221809103833141e-08,0.0005289124373721339
42,MOLM-ST (ESM2),0.8735478065241845,0.6546111736032997,0.7361124795073365,0.6259629955537398,1.3697910088385658e-40,9.292869985193836e-17,2.772209788542942e-08,9.2750188075579e-06
42,MOLM (Fusion-ESM2),0.8814788151481064,0.640254968128984,0.5993838642766028,0.5529880349321898,3.1802970203593414e-42,6.908019002583389e-16,2.7367982344297104e-05,0.0001459489598428283
42,MOLM-ST (Fusion-ESM2),0.8768533933258345,0.6553790776152981,0.5639447154890402,0.6545043134857237,2.9462531968648795e-41,8.321858254025403e-17,0.00010051997602655735,2.5799351761912526e-06
42,LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,1.2340454059953319e-39,1.0350057566653719e-17,8.123455150839684e-08,2.607380525415581e-09
42,LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,8.503728570411698e-35,2.8254917670485857e-21,9.462358386381671e-07,1.1429867434290264e-05
42,LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,1.7679168503920124e-34,2.798541435896733e-19,2.1341893499636374e-05,0.00011058377582743586
42,NN (OneHot),0.8634630671166106,0.6963719535058118,0.6142245146842092,0.7360741028027008,1.1543543777545244e-38,1.3913241099060262e-19,1.5140226068826442e-05,2.7791884169078623e-08
42,NN (ESM2),0.8766650716889732,0.6390906441637508,0.7008619998725432,0.6086919634876061,3.219622954985287e-41,8.090987634335307e-16,2.361732966163921e-07,1.894517260320393e-05
42,NN (Fusion-ESM2),0.8696490541519568,0.6999782525412785,0.6276865254364641,0.7307226056904538,7.945316530314151e-40,7.528518090996771e-20,8.616500082904068e-06,3.9298168540160156e-08
123,MOLM (OneHot),0.872755905511811,0.668379452568429,0.35901398554356934,0.6506123155859077,1.966777705002466e-40,1.2223865521043075e-17,0.019548580122930766,3.095912097340945e-06
123,MOLM-ST (OneHot),0.8499767529058868,0.6883629546306712,0.46703445736286775,0.7149924475120308,2.569045688903374e-36,5.271226007400007e-19,0.0018202663209405774,1.0395944819142916e-07
123,MOLM (ESM2),0.8913835770528686,0.6237330333708287,0.6629634813233972,0.5165005546214148,1.9465209897420784e-44,6.120162945966e-15,1.7200917853364737e-06,0.0004623190455230518
123,MOLM-ST (ESM2),0.8920194975628049,0.6477480314960631,0.6646665067800077,0.6140437519855533,1.3800590716735103e-44,2.4572189838922667e-16,1.5828271117117011e-06,1.5252559563479081e-05
123,MOLM (Fusion-ESM2),0.8694203224596927,0.6396370453693289,0.6585031765560838,0.6247467462100473,8.792975066150655e-40,7.513157758976203e-16,2.133381027243694e-06,9.767186422099725e-06
123,MOLM-ST (Fusion-ESM2),0.8600674915635547,0.6328818897637796,0.493066417913915,0.6773698011471426,4.746248239176341e-38,1.858535573738327e-15,0.0009078953507474085,8.367074561225757e-07
123,LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,1.2340454059953319e-39,1.0350057566653719e-17,8.123455150839684e-08,2.607380525415581e-09
123,LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,8.503728570411698e-35,2.8254917670485857e-21,9.462358386381671e-07,1.1429867434290264e-05
123,LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,1.7679168503920124e-34,2.798541435896733e-19,2.1341893499636374e-05,0.00011058377582743586
123,NN (OneHot),0.865424821897263,0.6981717285339333,0.6395266071824232,0.7286144401613868,5.012157712094512e-39,1.0252100358655694e-19,5.132032432585012e-06,4.494432010253636e-08
123,NN (ESM2),0.8707178776296433,0.6322146384320249,0.7249992877721736,0.5857295194634201,4.934954113817733e-40,2.0300262726583006e-15,5.641762572060472e-08,4.5999489899446894e-05
123,NN (Fusion-ESM2),0.8612377581012451,0.6864978825462273,0.6903903350682659,0.678655820636991,2.928023060001987e-38,7.144270759620642e-19,4.211225083843044e-07,7.830525614643197e-07
456,MOLM (OneHot),0.8847844019497565,0.6739407574053244,0.5633770403368367,0.7253711085782067,6.116296512006456e-43,5.2233828258133785e-18,0.00010251399257847564,5.512271887204181e-08
456,MOLM-ST (OneHot),0.8395260592425948,0.6533033370828648,0.5112320227844276,0.4993919805201403,1.1905182933088131e-34,1.1206285876620497e-16,0.0005403517170117567,0.000760277440235703
456,MOLM (ESM2),0.88029696287964,0.629456317960255,0.5494284508826931,0.5776373549643576,5.666161933934849e-42,2.917262178399689e-15,0.00016428999649942302,6.18985845036513e-05
456,MOLM-ST (ESM2),0.8726119235095613,0.6475260592425947,0.6877789951197224,0.6545043134857237,2.099936576534192e-40,2.5346739589711883e-16,4.846524908730476e-07,2.5799351761912526e-06
456,MOLM (Fusion-ESM2),0.8895418072740908,0.6809958755155606,0.7602792217011435,0.6146924183021892,5.207843627569754e-44,1.729068865574149e-18,5.196456977504247e-09,1.4852962639327842e-05
456,MOLM-ST (Fusion-ESM2),0.8684064491938508,0.6745886764154482,0.6223341597156881,0.7203439446242776,1.3749395699441886e-39,4.725085051508585e-18,1.0815109621527846e-05,7.521696930942979e-08
456,LDA (OneHot),0.868652418447694,0.6694773153355831,0.7190822249412309,0.7694804181094547,1.2340454059953319e-39,1.0350057566653719e-17,8.123455150839684e-08,2.607380525415581e-09
456,LDA (ESM2),0.8404739407574053,0.7183832020997376,0.6749657559699859,0.6210169148893903,8.503728570411698e-35,2.8254917670485857e-21,9.462358386381671e-07,1.1429867434290264e-05
456,LDA (Fusion-ESM2),0.8384041994750656,0.6922024746906638,0.6057093874011564,0.5611774471797193,1.7679168503920124e-34,2.798541435896733e-19,2.1341893499636374e-05,0.00011058377582743586
456,NN (OneHot),0.8578561154670367,0.6798551776903002,0.6892807865173869,0.6877479401612576,1.1684408029163118e-37,2.0718100494032148e-18,4.4710890220446986e-07,4.854587926917384e-07
456,NN (ESM2),0.8795403347159988,0.6396010498687664,0.7203883254495962,0.6174492501478923,8.174844765398574e-42,7.5499550402674075e-16,7.501305212018776e-08,1.3259427019602136e-05
456,NN (Fusion-ESM2),0.859343257327776,0.6852493788873503,0.6954757087797292,0.6541904056550483,6.385906995525364e-38,8.74583814904106e-19,3.189659524954951e-07,2.618405538040143e-06
789,MOLM (OneHot),0.8609973753280842,0.6540232470941133,0.4699539295742001,0.7213169440992316,3.234598033973537e-38,1.0110028294442994e-16,0.0016881813078892835,7.086248631640685e-08
789,MOLM-ST (OneHot),0.8583997000374953,0.6854833145856768,0.5178008352599255,0.7824537444421746,9.376617121147176e-38,8.421226020571545e-19,0.0004446879760731779,9.32834978867432e-10
789,MOLM (ESM2),0.8690303712035996,0.6254608173978253,0.6940234217939613,0.6617207262582993,1.0447194209272557e-39,4.901359505714098e-15,3.455043335475345e-07,1.8271060986485936e-06
