dataset,model,score_type,n_seeds,recall_mean,recall_std,precision_mean,precision_std,overlap_mean,predicted_mean
ISO,MOLM_latent_pca,latent_pca,5,0.2533333333333333,0.07302967433402215,0.21404970760233918,0.06689340226441882,3.8,17.8
ISO,MOLM-ST_latent_pca,latent_pca,5,0.2,0.15634719199411432,0.18653846153846154,0.14556275970121726,3.0,14.8
ISO,NN (OneHot),logits,5,0.16,0.03651483716701109,0.4644444444444444,0.15877618380352224,2.4,5.6
ISO,MOLM-ST,logits,5,0.15999999999999998,0.1115546702045434,0.4416666666666667,0.1649915822768611,2.4,5.0
ISO,MOLM-ST_probs,probs,5,0.15999999999999998,0.1115546702045434,0.4416666666666667,0.1649915822768611,2.4,5.0
ISO,NN (Fusion-ESM2),logits,5,0.12,0.07302967433402216,0.3271428571428571,0.2339980812759291,1.8,5.2
ISO,MOLM,logits,5,0.08,0.0557773351022717,0.4,0.25276251480171835,1.2,3.0
ISO,MOLM_probs,probs,5,0.08,0.0557773351022717,0.4,0.25276251480171835,1.2,3.0
ISO,LDA,logits,5,0.06666666666666667,0.0,0.5,0.0,1.0,2.0
IgG,NN (Fusion-ESM2),logits,5,0.24000000000000005,0.16733200530681513,0.18871794871794872,0.19512129776513792,1.2,9.2
IgG,MOLM-ST,logits,5,0.2,0.2,0.17857142857142855,0.20824828195876072,1.0,5.0
IgG,MOLM-ST_probs,probs,5,0.2,0.2,0.17857142857142855,0.20824828195876072,1.0,5.0
IgG,NN (OneHot),logits,5,0.2,0.2,0.16,0.1920648038785058,1.0,6.0
IgG,MOLM-ST_latent_pca,latent_pca,5,0.08,0.10954451150103324,0.07222222222222222,0.11041448285750993,0.4,5.8
IgG,MOLM_latent_pca,latent_pca,5,0.08,0.10954451150103323,0.046753246753246755,0.06660198132445758,0.4,8.2
IgG,MOLM,logits,5,0.04,0.08944271909999159,0.06666666666666667,0.14907119849998599,0.2,3.2
IgG,MOLM_probs,probs,5,0.04,0.08944271909999159,0.06666666666666667,0.14907119849998599,0.2,3.2
IgG,LDA,logits,5,0.0,0.0,0.0,0.0,0.0,3.0
